grupo glicose
A 77.93
A 92.77
A 100.84
A 66.54
A 94.29
A 95.06
A 84.25
A 84.53
A 84.36
A 81.1
A 85.23
A 80.02
A 82.24
A 90.64
A 99.59
A 88.9
A 84.89
A 80.89
A 81.63
A 114.16
A 91.34
A 85.09
A 85.59
A 94.6
A 83.06
A 75.52
A 95.75
A 79.76
A 89.85
A 80.64
A 101.02
A 85.24
A 82.91
A 84.99
A 73.71
A 78.32
A 68.2
A 76.59
A 87.06
A 85.34
A 104.49
A 79.31
A 81.45
A 87.19
A 80.06
A 80.31
A 78.93
A 77.48
A 84.76
A 85.03
B 132.48
B 169.56
B 149.62
B 144.29
B 139.36
B 152.8
B 140.85
B 139.1
B 160.49
B 132.7
B 179.93
B 137.05
B 196.52
B 138.53
B 145.38
B 193.92
B 196.21
B 149.54
B 138.64
B 185.8
B 182.1
B 194.12
B 199.62
B 195.97
B 164.03
B 149.84
B 147.61
B 165.23
B 164.79
B 152.29
B 197.36
B 174.39
B 138.92
B 159.61
B 194
B 162.75
B 193.57
B 171.84
B 174.22
B 190.84
B 165.19
B 198.85
B 152.71
B 163.7
B 154.99
B 173.92
B 181.91
B 169.62
B 198.66
B 170.38
C 146.93
C 122.19
C 135.53
C 155.17
C 143.66
C 146.44
C 146.6
C 122.55
C 146.52
C 167
C 163.95
C 161
C 141.95
C 146.17
C 126.11
C 148.94
C 155.1
C 184.12
C 170.03
C 140.09
C 157.11
C 127.31
C 167.56
C 169.46
C 192.42
C 158.29
C 140.51
C 151.32
C 139.95
C 133.48
C 153.34
C 132.07
C 153.36
C 157.1
C 148.96
C 146.08
C 137.02
C 127.8
C 166.99
C 150.45
C 166.62
C 125.11
C 153.38
C 163.46
C 149.47
C 146.17
C 134.36
C 191.16
C 165.01
C 186.48
